Brand Name,Product Name,Category,Fragrance Type,Volume (ml),Price (INR),Long-lasting (hours),Alcohol-Free,Skin-Friendly,Anti-Perspirant,Customer Rating,Number of Reviews,Manufacturing Date,Expiry Date,Country of Origin,Packaging Type,Shelf Life (Months),Sales in Last Month (Units),Online Availability,Discount (%),Retailer Name
Nike Deodorant,Variant 29,Men,Fresh,200,265,15,No,No,Yes,2.5,4654,2022-01-01,2024-01-01,India,Roll-on,25,8623,Yes,20,Nykaa
Envy Deo,Variant 21,Men,Citrus,100,515,4,Yes,No,Yes,2.9,2500,2022-01-02,2024-01-02,India,Roll-on,26,3616,No,36,Flipkart
Nivea,Variant 3,Women,Oriental,150,249,8,Yes,No,Yes,3.6,3061,2022-01-03,2024-01-03,India,Spray,13,2425,No,11,Flipkart
Nike Deodorant,Variant 30,Unisex,Woody,250,487,12,Yes,Yes,No,2.5,3411,2022-01-04,2024-01-04,India,Spray,28,7509,No,15,Local Store
Rexona Deodorant,Variant 11,Unisex,Citrus,250,317,20,Yes,Yes,Yes,4.2,4473,2022-01-05,2024-01-05,India,Roll-on,18,3803,Yes,47,Local Store
Park Avenue Deodorant,Variant 37,Women,Aquatic,250,278,5,Yes,No,Yes,4.3,1510,2022-01-06,2024-01-06,India,Stick,17,729,No,33,Local Store
Rexona Deodorant,Variant 27,Unisex,Fruity,200,224,10,Yes,Yes,Yes,3.4,3520,2022-01-07,2024-01-07,India,Stick,29,2483,Yes,38,Local Store
Nike Deodorant,Variant 44,Unisex,Floral,250,369,23,Yes,Yes,No,3.2,3069,2022-01-08,2024-01-08,India,Stick,28,9092,No,25,Amazon
Park Avenue Deodorant,Variant 46,Women,Woody,250,321,8,Yes,No,No,2.7,753,2022-01-09,2024-01-09,India,Roll-on,19,4814,Yes,5,Myntra
Engage Deo,Variant 27,Women,Spicy,100,691,23,No,No,No,4.6,4762,2022-01-10,2024-01-10,India,Spray,23,9241,No,16,Amazon
Envy Deo,Variant 36,Women,Oriental,200,241,16,No,No,No,2.8,1609,2022-01-11,2024-01-11,India,Roll-on,23,7236,Yes,0,Nykaa
Fogg Deo,Variant 8,Men,Oriental,100,607,22,Yes,Yes,No,4.8,4804,2022-01-12,2024-01-12,India,Spray,32,9612,Yes,19,Myntra
Rexona Deodorant,Variant 26,Women,Fruity,150,626,23,No,No,No,3.2,4662,2022-01-13,2024-01-13,India,Stick,20,1001,Yes,11,Local Store
Engage Deo,Variant 38,Unisex,Aquatic,100,284,22,Yes,Yes,No,3.5,412,2022-01-14,2024-01-14,India,Spray,36,5578,No,7,Flipkart
Rexona Deodorant,Variant 22,Men,Aquatic,250,235,24,No,Yes,Yes,3.1,4770,2022-01-15,2024-01-15,India,Stick,36,6910,No,29,Local Store
Nike Deodorant,Variant 7,Men,Oriental,100,563,4,Yes,No,No,4.9,2724,2022-01-16,2024-01-16,India,Stick,17,1351,No,31,Nykaa
Envy Deo,Variant 16,Women,Floral,200,434,6,Yes,Yes,Yes,4.7,366,2022-01-17,2024-01-17,India,Roll-on,34,5199,Yes,12,Amazon
Nivea,Variant 2,Men,Fresh,250,412,8,No,No,Yes,4.2,2237,2022-01-18,2024-01-18,India,Roll-on,18,7615,Yes,26,Myntra
Fogg Deo,Variant 25,Women,Fruity,100,531,13,Yes,Yes,No,4.5,3925,2022-01-19,2024-01-19,India,Roll-on,24,4187,No,16,Myntra
Nivea,Variant 24,Unisex,Fresh,150,671,20,Yes,Yes,No,2.8,3670,2022-01-20,2024-01-20,India,Spray,27,6130,Yes,9,Amazon
Nivea,Variant 19,Unisex,Citrus,100,271,12,No,No,No,3.3,4100,2022-01-21,2024-01-21,India,Roll-on,31,5910,No,10,Myntra
Engage Deo,Variant 35,Women,Citrus,100,461,21,No,Yes,Yes,4.3,3594,2022-01-22,2024-01-22,India,Spray,25,1793,No,3,Local Store
Fogg Deo,Variant 45,Men,Spicy,100,172,23,No,Yes,Yes,3.3,2033,2022-01-23,2024-01-23,India,Stick,24,2778,No,8,Myntra
Nivea,Variant 26,Men,Spicy,150,271,24,No,No,Yes,3.3,1596,2022-01-24,2024-01-24,India,Stick,34,5325,No,31,Myntra
Park Avenue Deodorant,Variant 50,Unisex,Fresh,200,520,13,No,Yes,Yes,3.3,4427,2022-01-25,2024-01-25,India,Spray,32,6369,Yes,14,Myntra
Fogg Deo,Variant 49,Men,Aquatic,150,537,19,Yes,Yes,No,2.7,3017,2022-01-26,2024-01-26,India,Spray,28,5865,Yes,6,Local Store
Nike Deodorant,Variant 42,Men,Oriental,200,177,17,No,Yes,Yes,3.8,2938,2022-01-27,2024-01-27,India,Roll-on,15,7136,No,17,Flipkart
Fogg Deo,Variant 17,Women,Fresh,250,264,11,No,No,Yes,3.8,3331,2022-01-28,2024-01-28,India,Spray,31,6180,Yes,6,Myntra
Fogg Deo,Variant 43,Unisex,Fresh,200,646,22,Yes,No,Yes,3.1,3518,2022-01-29,2024-01-29,India,Spray,35,5531,No,9,Amazon
Fogg Deo,Variant 39,Unisex,Floral,250,239,4,Yes,No,Yes,2.9,736,2022-01-30,2024-01-30,India,Spray,29,4028,No,28,Amazon
Nivea,Variant 38,Women,Aquatic,250,277,23,No,Yes,No,3.6,4596,2022-01-31,2024-01-31,India,Roll-on,21,9763,No,39,Nykaa
Nivea,Variant 17,Men,Fruity,100,508,10,Yes,Yes,Yes,3.3,304,2022-02-01,2024-02-01,India,Spray,22,9425,No,3,Flipkart
Envy Deo,Variant 29,Women,Citrus,250,615,13,Yes,Yes,Yes,3.6,1999,2022-02-02,2024-02-02,India,Roll-on,14,549,No,25,Myntra
Fogg Deo,Variant 15,Unisex,Fresh,250,581,22,No,No,Yes,4.8,112,2022-02-03,2024-02-03,India,Stick,12,8644,No,30,Nykaa
Rexona Deodorant,Variant 23,Unisex,Oriental,200,546,23,No,Yes,Yes,4.2,531,2022-02-04,2024-02-04,India,Spray,23,318,Yes,50,Local Store
